"EMM_ENTY_SRNO","EMM_MKT_SRNO","EMM_TRDNG_MTHD_SRNO","EMM_RCRD_SRNO","EMM_MKT_MAKING_TYPE_INDC","EMM_ELGBLT_FROM_DATE","EMM_ELGBLT_TO_DATE","EMM_MKT_MAKING_STATUS_INDC","EMM_CRTD_USER_ID","EMM_CRTD_DATE","EMM_UPDTD_USER_ID","EMM_UPDTD_DATE"
"102318","4","2","1","2","2011-11-22","9998-12-31","1","shenlina","2011-11-21 11:00:32","shenlina","2011-11-21 11:00:32"
"901094","4","2","1","2","2014-8-19","9998-12-31","1","mscyll","2014-8-19 16:18:38","mscyll","2014-8-19 16:18:38"
"100477","4","2","1","2","2009-11-26","9998-12-31","1","shenlina","2009-11-25 10:43:51","shenlina","2009-11-25 10:43:51"
"102321","4","2","1","2","2012-10-15","9998-12-31","1","shenlina","2012-10-12 13:40:47","shenlina","2012-10-12 13:40:47"
"100370","4","2","1","2","2010-8-3","2014-6-10","1","shenlina","2010-8-2 16:52:16","shenlina","2014-6-10 9:21:13"
"100083","4","2","1","2","2012-10-16","9998-12-31","1","shenlina","2012-10-15 9:58:35","shenlina","2012-10-15 9:58:35"
"100359","4","2","1","2","2012-11-26","9998-12-31","1","shenlina","2012-11-23 9:31:36","shenlina","2012-11-23 9:31:36"
"100055","4","2","1","2","2013-8-13","9998-12-31","1","shenlina","2013-8-12 15:38:52","shenlina","2013-8-12 15:38:52"
"100358","4","2","1","2","2014-5-14","9998-12-31","1","shenlina","2014-5-14 14:43:19","shenlina","2014-5-14 14:43:19"
"102283","4","2","1","2","2014-5-15","9998-12-31","1","shenlina","2014-5-14 15:09:38","shenlina","2014-5-14 15:09:38"
"101351","4","2","1","2","2014-8-21","9998-12-31","1","mscwyh","2014-8-21 13:56:35","mscwyh","2014-8-21 13:56:35"
"100352","4","2","1","2","2009-9-10","9998-12-31","1","shenlina","2009-9-10 15:13:45","shenlina","2009-9-10 15:13:45"
"800013","4","2","1","2","2014-8-26","9998-12-31","1","mscwyh","2014-8-26 14:27:52","mscwyh","2014-8-26 14:27:52"
"100008","4","2","1","1","2014-8-26","9998-12-31","1","msctqh","2014-8-26 14:34:26","msctqh","2014-8-26 14:34:26"
"101219","4","2","1","1","2014-8-26","2015-3-3","1","mscmyb","2014-8-26 15:21:46","mscmyb","2014-8-26 15:21:46"
"101220","4","2","1","1","2014-8-26","9998-12-31","1","mschwh","2014-8-26 15:26:35","mschwh","2014-8-26 15:26:35"
"101386","4","2","1","1","2014-8-26","9998-12-31","1","mschqy","2014-8-26 15:48:22","mschqy","2014-8-26 15:48:22"
"101219","6","2","1","1","2014-8-26","2015-3-3","1","mschwh","2014-8-26 15:59:34","mschwh","2014-8-26 15:59:34"
"101904","4","2","1","2","2009-7-6","2014-5-9","1","shenlina","2009-7-3 15:48:09","shenlina","2014-5-8 13:40:08"
"100054","4","2","1","2","2009-7-7","9998-12-31","1","shenlina","2009-7-7 9:13:47","shenlina","2009-7-7 9:13:47"
"901100","4","2","1","1","2014-8-23","9998-12-31","1","mscpyh","2014-8-23 15:06:28","mscpyh","2014-8-23 15:06:28"
"901100","6","2","1","1","2014-8-23","9998-12-31","1","mscpyh","2014-8-23 15:06:28","mscpyh","2014-8-23 15:06:28"
"901099","4","2","1","1","2014-8-23","9998-12-31","1","mscpyh","2014-8-23 15:10:37","mscpyh","2014-8-23 15:10:37"
"901099","6","2","1","1","2014-8-23","9998-12-31","1","mscpyh","2014-8-23 15:10:37","mscpyh","2014-8-23 15:10:37"
"901101","4","2","1","1","2014-8-28","9998-12-31","1","mscpyx","2014-8-28 11:01:41","mscpyx","2014-8-28 11:02:15"
"101391","4","2","1","1","2014-8-28","9998-12-31","1","mscwy","2014-8-28 15:12:55","mscwy","2014-8-28 15:12:55"
"102316","6","2","1","2","2014-8-28","9998-12-31","1","mscwhm","2014-8-28 16:22:57","mscwhm","2014-8-28 16:22:57"
"102296","6","2","1","1","2014-8-28","9998-12-31","1","mscwhm","2014-8-28 16:23:28","mscwhm","2014-8-28 16:23:28"
"100012","6","2","1","1","2014-8-28","9998-12-31","1","mscwhm","2014-8-28 16:24:15","mscwhm","2014-8-28 16:24:15"
"101391","6","2","1","1","2014-8-28","9998-12-31","1","mscwhm","2014-8-28 16:26:19","mscwhm","2014-8-28 16:26:19"
"100012","4","2","2","1","2011-1-18","9998-12-31","1","shenlina","2011-1-26 16:58:36","shenlina","2011-1-26 16:58:36"
"100160","4","2","1","2","2013-2-18","9998-12-31","1","shenlina","2013-2-17 14:46:14","shenlina","2013-2-17 14:46:14"
"102090","4","2","1","2","2014-6-23","9998-12-31","1","shenlina","2014-6-23 9:21:03","shenlina","2014-6-23 9:21:03"
"303095","4","2","1","1","2014-8-18","9998-12-31","1","mscdjh","2014-8-18 10:06:18","mscdjh","2014-8-21 10:41:48"
"305028","4","2","1","1","2014-8-18","9998-12-31","1","mscdjh","2014-8-18 10:06:46","mscdjh","2014-8-21 15:09:57"
"303212","4","2","1","1","2014-8-18","9998-12-31","1","mscxxq","2014-8-18 10:09:52","mscxxq","2014-8-18 10:09:52"
"901080","4","2","1","1","2014-8-18","9998-12-31","1","mscyll","2014-8-18 10:15:46","mscyll","2014-8-18 10:15:46"
"901081","4","2","1","1","2014-8-18","9998-12-31","1","mscyll","2014-8-18 10:17:50","mscyll","2014-8-18 10:17:50"
